20130114	Diamond	Tidex	2.944	4.6044	24

20130610	Bytecoin	Bitfinex	0.0018	0.002	21952

20130921	GameCredits	Huobi	0.4841	0.7786	5906

20130728	EthereumClassic	CoinMate	11.7246	15.7762	2897

20130412	Lykke	CEX.IO	0.209	0.2293	6128

20130817	NoLimitCoin	Bithumb	0.183	0.2345	2096

20130207	Ethereum	Chbtc	331.7282	401.486	136786

20130617	OKCash	Trade	0.0459	0.0519	66

20130611	Zcash	Satoshi	73.9545	88.6692	436

20130827	Factom	BTCC	4.9188	5.7826	27

20130807	LEOcoin	C-CEX	0.2734	0.2891	98

20131227	Counterparty	Allcoin	2.1582	2.7015	12

20130818	Peercoin	CoinBene	0.6405	0.8015	81

20131123	Ark	Zaif	1.5218	1.9555	13060

20131206	Blocknet	Gemini	12.4502	15.5834	1087

20140131	Dash	Upbit	196.2323	237.0884	274394

20140402	Ripple	itBit	0.0701	0.0979	54482

20131102	TheChampCoin	Huobi	0.0593	0.0802	867

20131205	Peercoin	Quoine	0.2855	0.3552	2341

20140301	Monero	CEX.IO	9.6805	12.4113	370236

20140530	Verge	Upbit	0.0056	0.008	698

20130316	NEM	CEX.IO	0.062	0.0631	51549

20130627	BitcoinDark	C-CEX	30.6045	37.6739	268

20130606	Bitcoin	Zaif	2101.3241	3261.8443	4622140
